Comment,Author
이런 마녀사냥하는것들 진짜 어떻게 안되나 금융치료말고 진짜 확실하게 응징할수 있는 나도 당해봐서 잘 아는데 아무리 해명하고 수습했다해도 한번 소문난건 절대 완벽하게 못 돌림 엎질러진물 못 담는것처럼,@hunteroh9942
사회생활 해본사람은 대충 알거임 ㅋㅋㅋ 정신병자 수준의 사람들은 생각보다 많다는거 우리 회사도 지가 일 더럽게 못하고 맨날 농땡이 부리던 사람이 결국 정규직 못돼서 나갔는데 잡플래닛 테러해놓더라 자기 유리하게 과장해서 ㅋㅋㅋ 정신병수준,@user-vf5dc7jl1e
강형욱 훈련사님 영원히 반려인들을 위해 좋은 정보와 소식 알려주세요이번일로 상처받으신 마음 회복하시길 바랄게요 응원합니다,@ParkKongKong
강형욱님을 응원합니다마음 다치시지 마시고힘내세요,@user-gu6tw8qc5p
녹취록있다는데 중립박자지극히 이성적이고 올바른 판단임 ㅇㅇ근데 그걸 강형욱해명영상전에 강형욱 나락보내려고 욕하는 놈들이 말하고있으니 그냥 순수하게 속이보여서 개웃김 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,@user-sf3tg6gz5c
아직도 레오 옥상 방치라며 몰아가시는 분들 많네 본인들이 후지마비 온 노령견을 키워봤어야 조금이라도 이해하는 척들을 하시려나나는 키워봤고 동물 병원에서 산소방을 포함하여 아침 입원 저녁 퇴원 진료 및 치료 받다가 네다섯 시간 잠든 사이 떠나가서 아직도 그때 당시 잠들었던 나를 자책하며 천추의 한으로 남아있기에 강형욱님 마음이 이해 됨 심지어 내 상황도 원장님께서 대부분 보호자님들은 이정도라면 포기하신다 했음 조심스럽게 안락사 이야기도 하셨고 버리는 사람도 있다 해서 충격먹었음심지어 그 전날 저녁 67시경 퇴원 후 밤 10시쯤 심하게 끙끙대며 설사하는 모습에 심장이 철렁해 원장님께 개인연락 드리니 데려오라셔서 데려가 검사 받고 상태 보신 후 괜찮다시기에 안심하고 집에 옴 어차피 다음날 오전 세번째 검사가 있었고 사건 당일 새벽 세네시쯤에도 끙끙거리긴 했지만 살아있었기에 갑자기 그렇게 될거라곤 상상도 못했음너무 갑작스럽고 자책감이 심해 내 욕심인 걸 알지먀 혹시 하루만 더 데리고있다 장례 치뤄줘도 되냐하니 얼음팩으로 몸 시원하게 해주면 그러셔도 된다시기에 그렇게 하루 더 데리고 있다 혼자 조용히 장례 치뤄줌애초부터 레오에 대해 제보 된 내용은 사실과 다르다며 수의사님께서 증인으로서 증언도 해주셨는데 유튜브에서 자세하게 다뤄주지를 않으니 그동안 영상들 제대로 보지도 않은 인간들이니 아직도 이건 본인들 알 바 아니니 옥상 방치로만 몰아가면서 빼액대는 모습들이 참 징글징글함실제로 본 적도 없는 레오한테 강정 이입 적당히 들 하시고 그럴 시간에 본인들 가족이나 제대로 챙기시면서 직장생활이나 똑바로 하시기 바람 얼마나 가정과 사회에서 인간대접들을 못받으면 여기서라도 악플 선동으로 관심 받기를 바라는지 한심함,@user-mh4mj4hz8i
흉자들도 정신좀 차려라 똥팬티세탁기 삶좀 그만살고,@user-3sdafzfdsy5f
자자 강형욱 점치던 자칭 관상가들 빨리 나와라 ㅌㅋ,@trisalamsu
중앙일보 단독기사보니 전직원들 폭언에관한 녹취록 있다고 하던데 좀 더 지켜보겠습니다,@user-cb2ph3iq8e
여시들 다 조지면 좋겠다,@postarchivefaction4589
